conceptid,Value,ValueType,Provider
ACT_PROC:1,1,sortorder,PRESERVE/scapes
ACT_PROC:2,2,sortorder,PRESERVE/scapes
ACT_PROC:3,3,sortorder,PRESERVE/scapes
ACT_PROC:4,4,sortorder,PRESERVE/scapes
ACT_PROC:5,5,sortorder,PRESERVE/scapes
ACT_PROC:6,6,sortorder,PRESERVE/scapes
ACT_PROC:7,7,sortorder,PRESERVE/scapes
ACT_PROC:8,8,sortorder,PRESERVE/scapes
ACT_PROC:9,9,sortorder,PRESERVE/scapes
ACT_PROC:10,10,sortorder,PRESERVE/scapes
ACT_PROC:11,11,sortorder,PRESERVE/scapes
ACT_PROC:12,12,sortorder,PRESERVE/scapes
ACT_PROC:13,13,sortorder,PRESERVE/scapes
ACT_PROC:14,14,sortorder,PRESERVE/scapes
ACT_PROC:15,15,sortorder,PRESERVE/scapes
ACT_PROC:16,16,sortorder,PRESERVE/scapes
ACT_PROC:17,17,sortorder,PRESERVE/scapes
ACT_PROC:18,18,sortorder,PRESERVE/scapes
